0,626
1,890
2,240
3,561
4,403
5,611
6,97
7,147
8,402
9,856
10,300
11,702
12,242
13,596
14,888
15,247
16,997
17,122
18,39
19,853
20,289
21,224
22,33
23,906
24,979
25,488
26,547
27,921
28,781
29,49
30,872
31,879
32,978
33,579
34,71
35,390
36,526
37,446
38,882
39,212
40,371
41,214
42,897
43,755
44,266
45,131
46,425
47,947
48,789
49,422
50,977
51,336
52,928
53,621
54,715
55,514
56,263
57,109
58,936
59,957
60,934
61,947
62,74
63,740
64,967
65,447
66,395
67,835
68,775
69,480
70,980
71,279
72,414
73,955
74,657
75,923
76,5
77,95
78,919
79,231
80,585
81,591
82,854
83,86
84,688
85,947
86,9
87,383
88,275
89,783
90,535
91,22
92,18
93,309
94,27
95,358
96,965
97,237
98,985
99,853
100,957
101,594
102,315
103,785
104,57
105,789
106,217
107,381
108,129
109,893
110,323
111,193
112,694
113,930
114,615
115,30
116,966
117,30
118,37
119,597
120,154
121,759
122,183
123,613
124,571
125,886
126,340
127,274
128,698
129,424
130,235
131,270
132,115
133,463
134,393
135,375
136,60
137,602
138,681
139,375
140,630
141,498
142,129
143,47
144,183
145,824
146,812
147,240
148,865
149,350
150,437
151,552
152,990
153,394
154,655
155,43
156,283
157,30
158,821
159,516
160,777
161,908
162,518
163,517
164,827
165,265
166,15
167,741
168,752
169,436
170,572
171,411
172,17
173,208
174,332
175,825
176,748
177,618
178,877
179,601
180,776
181,728
182,201
183,315
184,357
185,1
186,835
187,558
188,321
189,896
190,444
191,897
192,202
193,386
194,202
195,620
196,522
197,239
198,29
199,696
200,590
201,371
202,526
203,124
204,118
205,78
206,854
207,150
208,446
209,238
210,648
211,528
212,232
213,333
214,162
215,219
216,736
217,541
218,870
219,859
220,14
221,707
222,653
223,865
224,550
225,321
226,901
227,924
228,909
229,331
230,673
231,313
232,895
233,988
234,24
235,589
236,269
237,428
238,637
239,130
240,960
241,365
242,209
243,535
244,485
245,159
246,160
247,751
248,611
249,80
250,795
251,557
252,954
253,960
254,159
255,922
256,498
257,177
258,98
259,279
260,281
261,723
262,994
263,672
264,284
265,698
266,659
267,434
268,899
269,814
270,966
271,413
272,633
273,0
274,848
275,755
276,312
277,178
278,57
279,355
280,266
281,571
282,323
283,517
284,728
285,552
286,666
287,37
288,775
289,288
290,947
291,202
292,464
293,594
294,256
295,408
296,807
297,387
298,235
299,270
300,170
301,708
302,757
303,625
304,973
305,300
306,527
307,492
308,532
309,983
310,271
311,700
312,883
313,579
314,736
315,846
316,180
317,76
318,12
319,456
320,970
321,253
322,212
323,701
324,610
325,817
326,51
327,627
328,268
329,393
330,706
331,173
332,665
333,463
334,148
335,250
336,772
337,532
338,572
339,314
340,877
341,858
342,366
343,322
