0,718,525,869,5
1,755,774,111,8
2,892,494,343,9
3,659,590,478,4
4,612,178,721,2
5,305,305,768,2
6,301,591,453,2
7,627,994,895,3
8,303,775,473,6
9,475,252,984,8
10,188,931,257,9
11,6,198,315,6
12,625,40,433,9
13,825,715,909,10
14,807,988,125,7
15,918,140,666,7
16,236,334,305,2
17,779,511,448,9
18,364,524,401,8
19,875,367,772,8
20,58,209,885,10
21,100,487,590,1
22,301,895,710,6
23,536,301,524,3
24,755,490,82,8
25,343,933,47,2
26,58,742,490,7
27,470,457,327,1
28,639,360,794,8
29,892,874,296,1
30,923,27,220,5
31,340,711,444,7
32,334,169,839,7
33,717,399,508,7
34,725,620,894,1
35,38,999,222,5
36,654,544,21,8
37,565,979,504,8
38,577,526,871,3
39,435,428,728,5
40,16,741,670,8
41,813,470,391,7
42,809,7,452,3
43,536,458,859,2
44,386,340,742,3
45,76,746,685,4
46,511,93,395,9
47,646,383,941,8
48,433,464,458,4
49,118,967,881,3
50,825,88,480,5
51,536,138,713,5
52,871,337,581,5
53,903,915,588,8
54,300,670,753,10
55,18,528,942,7
56,10,941,370,5
57,313,391,214,8
58,235,613,346,4
59,953,236,445,9
60,175,129,52,10
61,610,39,889,6
62,567,248,486,9
63,619,422,953,2
64,873,869,20,6
65,952,444,792,3
66,642,23,244,9
67,216,346,261,10
68,42,944,539,5
69,693,544,352,1
70,821,592,406,2
71,59,812,651,5
72,27,762,658,4
73,989,358,855,1
74,685,528,51,4
75,755,258,43,10
76,324,151,719,4
77,93,165,889,2
78,561,611,63,7
79,774,372,635,5
80,254,48,730,3
81,516,773,977,9
82,44,624,835,6
83,47,503,50,4
84,925,816,740,9
85,549,744,705,3
86,509,0,445,10
87,624,496,212,8
88,80,32,296,6
89,58,207,679,7
90,372,734,160,8
91,55,349,726,7
92,572,704,305,9
93,250,248,781,8
94,188,370,567,4
95,793,575,552,3
96,715,712,370,9
97,157,539,932,2
98,676,780,749,6
99,223,420,738,1
100,464,892,355,8
101,32,321,568,1
102,964,931,922,9
103,186,354,197,1
104,338,690,64,2
105,780,646,710,1
106,133,6,271,1
107,812,688,86,7
108,459,771,911,4
109,596,276,527,3
110,71,700,973,9
111,603,834,586,2
112,858,515,503,4
113,909,168,282,8
114,106,943,24,4
115,517,94,992,6
116,344,193,69,8
117,838,630,922,2
118,421,46,838,9
119,778,826,839,5
120,633,997,385,4
121,209,838,847,10
122,143,748,515,9
123,532,27,221,2
124,412,82,1,5
125,485,253,750,9
126,613,939,515,1
127,366,359,503,1
128,367,449,62,4
129,900,84,666,10
130,316,736,482,4
131,617,645,378,3
132,21,531,576,3
133,143,440,14,2
134,423,571,359,5
135,889,153,933,6
136,269,209,946,2
137,104,365,700,1
138,242,542,724,8
139,257,538,380,7
140,40,244,912,3
141,144,434,226,3
142,734,556,125,2
143,188,783,124,9
144,259,190,990,10
145,959,538,744,2
146,622,380,493,4
147,494,64,550,3
148,514,56,933,4
149,560,923,14,9
150,767,368,278,6
151,144,561,129,6
152,321,355,240,5
153,535,676,952,8
154,63,977,587,10
155,587,442,272,5
156,51,713,981,8
157,193,568,632,9
158,342,850,586,8
159,648,663,489,3
160,0,870,289,7
161,918,679,689,7
162,88,330,908,3
163,507,730,983,10
164,822,158,916,3
165,872,139,637,5
166,487,157,990,8
167,315,694,765,5
168,37,665,868,1
169,394,317,38,5
170,852,994,94,1
171,64,538,843,3
172,699,965,159,2
173,859,705,638,6
174,271,303,670,1
175,479,77,376,3
176,322,748,816,2
177,755,94,96,6
178,924,4,273,10
179,252,618,978,4
180,479,289,17,8
181,154,930,340,7
182,310,481,781,1
183,103,715,626,4
184,469,897,37,6
185,130,393,212,8
186,691,572,986,10
187,87,53,571,1
188,218,374,724,1
189,959,429,870,1
190,441,233,919,5
191,152,957,784,1
192,557,237,551,4
193,650,784,313,10
194,754,394,181,10
195,158,524,729,2
196,871,731,946,2
197,16,980,649,2
198,58,60,564,2
199,478,971,365,5
200,164,44,314,7
201,238,704,577,2
202,899,608,972,5
203,860,739,909,10
204,380,625,921,4
205,730,853,330,5
206,705,841,113,9
207,442,818,474,5
208,70,777,230,8
209,906,128,245,4
210,245,690,934,5
211,322,620,948,2
212,188,970,687,8
213,714,565,59,5
214,636,737,719,8
215,267,579,736,10
216,608,150,527,7
217,827,726,415,1
218,153,545,855,6
219,324,694,156,4
220,877,32,369,2
221,827,289,238,8
222,313,283,445,4
223,32,341,319,3
224,123,262,953,2
225,420,980,580,5
226,638,540,158,4
227,618,20,918,9
228,310,829,485,5
229,49,391,507,1
230,771,234,60,7
231,995,414,561,9
232,765,310,509,7
233,267,7,633,1
234,98,246,841,5
235,83,256,847,9
236,535,204,289,9
237,521,716,896,10
238,927,999,689,3
239,617,183,625,1
240,708,637,505,8
241,365,340,62,8
242,397,143,636,1
243,332,223,433,9
244,523,7,229,10
245,437,505,77,3
246,555,35,695,6
247,474,298,855,6
248,234,773,214,5
249,845,11,650,10
250,534,669,920,9
251,648,801,949,10
252,784,990,932,3
253,885,701,303,7
254,284,580,415,2
255,799,428,547,2
256,316,483,502,6
257,729,727,588,4
258,855,947,124,1
259,963,638,295,2
260,703,29,595,8
261,669,37,895,1
262,732,583,862,10
263,863,482,287,2
264,656,897,548,2
265,583,27,503,2
266,14,13,385,8
267,803,135,235,4
268,825,774,743,9
269,121,865,213,6
270,768,149,88,9
271,598,379,810,9
272,425,47,749,7
273,992,54,494,2
274,794,895,51,6
275,150,815,296,6
276,629,476,316,4
277,408,890,127,2
278,425,601,917,7
279,273,38,218,1
280,267,370,869,10
281,586,129,868,8
282,276,808,742,7
283,62,863,577,1
284,838,738,661,3
285,244,566,58,4
286,176,682,727,7
287,694,394,86,4
288,706,569,84,6
289,350,974,844,4
290,288,684,421,10
291,513,764,314,5
292,974,19,898,8
293,879,837,373,10
294,108,984,94,10
295,505,501,770,4
296,541,670,698,1
297,743,954,177,10
298,935,49,341,7
299,315,954,450,5
300,886,528,701,2
301,585,956,802,6
302,584,738,193,8
303,592,471,972,6
304,168,995,398,6
305,596,185,953,5
306,441,863,606,7
307,424,269,496,9
308,303,290,522,4
309,267,425,502,6
310,731,796,942,1
311,227,255,986,3
312,920,538,467,8
313,487,182,546,6
314,444,412,890,5
315,918,195,647,1
316,857,291,851,6
317,782,525,441,5
318,408,748,900,6
319,263,367,813,3
320,321,580,951,9
321,359,801,766,5
322,347,7,969,9
323,687,915,479,6
324,96,212,659,6
325,600,741,440,6
326,816,823,312,5
327,494,681,677,6
328,474,642,326,10
329,752,591,858,9
330,619,192,728,6
331,633,742,328,9
332,601,626,313,7
333,642,38,680,10
334,754,690,611,10
335,794,965,594,4
336,904,903,726,8
337,592,984,293,4
338,395,113,708,7
339,42,395,476,2
340,165,592,269,9
341,463,875,302,2
342,203,941,573,3
343,997,911,542,6
344,234,942,37,3
345,387,799,532,1
346,511,537,572,4
347,598,293,317,5
348,129,529,824,2
349,407,680,133,10
350,586,668,528,6
351,919,489,804,8
352,213,776,301,5
353,734,380,214,4
354,743,712,168,9
355,315,618,574,6
356,488,97,741,1
357,531,987,343,4
358,110,151,48,4
359,863,796,437,4
360,141,885,674,10
361,768,159,874,4
362,744,408,467,1
363,669,611,456,10
364,117,392,507,10
365,165,913,563,9
366,913,524,699,9
367,981,806,786,5
368,29,441,549,10
369,118,616,743,10
370,157,935,495,5
371,41,459,674,4
372,409,17,779,4
373,818,598,945,1
374,699,948,603,9
375,196,553,169,5
376,292,237,515,6
377,535,123,175,10
378,460,183,229,9
379,344,327,890,2
380,187,711,586,3
381,671,92,752,8
382,39,451,98,10
383,789,546,995,8
384,289,106,911,4
385,534,775,434,4
386,959,384,609,9
387,756,162,965,6
388,939,784,980,5
389,273,912,609,7
390,168,430,649,1
391,852,619,110,4
392,609,586,346,8
393,367,266,832,8
394,339,850,816,5
395,251,481,256,3
396,493,355,957,4
397,38,122,238,3
398,182,990,304,4
399,101,993,360,9
400,741,420,447,9
401,134,951,377,6
402,692,946,955,1
