0,770,Chodak Sp. z o.o.
1,287,Spółdzielnia Henke-Palej s.c.
2,814,FPUH Bogusiewicz Sp.k.
3,579,PPUH Mikus-Banek Sp. z o.o. Sp.k.
4,560,PPUH Kurpisz
5,928,FPUH Łukasiuk i syn s.c.
6,531,Grupa Nyk
7,441,Ludwiniak-Drygała Sp.k.
8,207,Gabinety Balas-Czerepak Sp.j.
9,953,Fundacja Basaj-Sypień Sp.k.
10,779,Spółdzielnia Kwapis-Brojek S.A.
11,539,Puc Sp.k.
12,63,Masny Sp. z o.o.
13,797,Fundacja Golda Sp. z o.o.
14,2,Spółdzielnia Smutek Sp. z o.o.
15,92,Fiutak-Kaluga S.A.
16,690,Kolarz-Nickel Sp. z o.o. Sp.k.
17,488,PPUH Gortat
18,936,Fundacja Bajko
19,232,Spółdzielnia Chaberek-Rudowicz s.c.
20,392,Grupa Rapa-Kamieniarz Sp. z o.o. Sp.k.
21,866,Spółdzielnia Stypka
22,875,Fundacja Malcherek i syn s.c.
23,766,Szumacher-Jędral Sp. z o.o.
24,209,Chołody-Zacharewicz S.A.
25,794,Spółdzielnia Chwalisz
26,262,Małyszka S.A.
27,422,FPUH Słobodzian-Roczniak s.c.
28,779,Grupa Niesporek-Stranc i syn s.c.
29,998,Stowarzyszenie Blaut S.A.
30,800,PPUH Sznura-Osica i syn s.c.
31,146,Stowarzyszenie Pacholik
32,780,Spółdzielnia Wojniak-Wardziak Sp.j.
33,247,Spółdzielnia Wojtoń Sp. z o.o.
34,65,Stowarzyszenie Wojsa-Szulim Sp.j.
35,571,Banek-Kurach Sp.k.
36,262,Trojanek-Litwińczuk S.A.
37,348,Grupa Feret Sp.j.
38,97,Grupa Borkiewicz
39,333,Starostka i syn s.c.
40,142,Pietrek-Wasążnik i syn s.c.
41,884,Fundacja Kohut-Muc S.A.
42,655,Majerczyk-Grosz S.A.
43,103,Steinke-Mędrala Sp. z o.o. Sp.k.
44,248,Gabinety Piksa Sp.k.
45,73,Spółdzielnia Kubiaczyk Sp.k.
46,998,Sass-Dziugieł S.A.
47,23,Czuj-Domka i syn s.c.
48,931,Sztuczka-Stochmal s.c.
49,410,Grupa Wawak
50,9,Spółdzielnia Kohnke-Dyjas s.c.
51,657,Chmara Sp.k.
52,974,Mazan-Kapuścik i syn s.c.
53,664,Spółdzielnia Forysiak
54,476,Szelest S.A.
55,968,Wojtiuk-Szwaja Sp.k.
56,641,Giezek-Ochwat Sp. z o.o. Sp.k.
57,161,PPUH Drej
58,252,Spółdzielnia Białka
59,128,Fundacja Bacik
60,16,Kowalak i syn s.c.
61,690,Gabinety Cydzik-Mokwa i syn s.c.
62,53,Porzucek Sp.k.
63,157,Ciochoń-Dziwak i syn s.c.
64,233,Gabinety Sroga Sp. z o.o. Sp.k.
65,834,Spółdzielnia Blaut Sp.k.
66,82,PPUH Magryta
67,294,FPUH Grzeszkowiak
68,289,Mirgos-Klęk Sp.j.
69,893,FPUH Matus-Kazimierczyk Sp.k.
70,548,Koziatek S.A.
71,102,Stowarzyszenie Zacharek-Wyciszkiewicz Sp.k.
72,317,Grupa Kusztal-Kretek Sp. z o.o.
73,188,Stowarzyszenie Gabryel
74,698,Stowarzyszenie Dziuban-Przewoźniak S.A.
75,442,Nazar Sp.k.
76,486,Bobik Sp.k.
77,670,Spółdzielnia Janc-Forysiak Sp. z o.o. Sp.k.
78,493,PPUH Basa Sp.k.
79,515,Gabinety Drążyk Sp.j.
80,585,Fundacja Herok-Narożny Sp. z o.o.
81,417,Szramka-Kramer S.A.
82,106,Madera-Ligenza Sp. z o.o.
83,265,Grupa Bobak
84,915,Loba S.A.
85,782,Gabinety Fitas
86,576,PPUH Chachuła-Roczniak Sp.j.
87,866,FPUH Burnat Sp. z o.o.
88,680,PPUH Żmija Sp.j.
89,502,Kretek-Jessa Sp. z o.o.
90,559,Łusiak-Kosak i syn s.c.
91,84,Majewicz-Sabała Sp.k.
92,262,Fundacja Korta
93,863,FPUH Sośniak Sp.j.
94,102,Gabinety Duczek-Kiszczak Sp. z o.o.
95,408,Drozda Sp.j.
96,851,Hinca-Sajda s.c.
97,661,Fundacja Engler
98,725,Grupa Niedośpiał-Panuś i syn s.c.
99,867,Waloch Sp. z o.o.
100,97,Stowarzyszenie Borzych-Putek Sp. z o.o.
101,392,Spółdzielnia Buczma Sp.j.
102,562,Fundacja Dziduch-Pielach Sp. z o.o.
103,330,FPUH Putek-Thomas S.A.
104,284,Gabinety Przekwas
105,520,Maciuk Sp.j.
106,398,Serwach-Krenc Sp. z o.o.
107,953,Spółdzielnia Dytko i syn s.c.
108,567,Gomoła s.c.
109,70,Rezler s.c.
110,881,Sypek i syn s.c.
111,283,Stowarzyszenie Misztela-Adamiuk S.A.
112,493,Solich Sp. z o.o. Sp.k.
113,646,Grupa Bohdanowicz-Opoka Sp. z o.o.
114,64,Hamerla Sp.k.
115,912,Stowarzyszenie Franc-Szczypiór Sp.k.
116,520,Tytko-Kapka S.A.
117,22,Gendera Sp. z o.o.
118,690,Spółdzielnia Bluszcz-Kwinta Sp. z o.o. Sp.k.
119,122,Kozdrój-Trznadel Sp. z o.o. Sp.k.
120,450,Stowarzyszenie Kapinos-Majorczyk Sp.k.
121,561,Stowarzyszenie Tomaszczyk-Wiertelak s.c.
