0,285,219,132
1,648,256,28
2,681,837,159
3,379,814,153
4,831,254,90
5,932,723,157
6,578,52,31
7,485,846,163
8,587,925,21
9,699,971,113
10,4,989,102
11,99,278,0
12,645,302,145
13,601,125,162
14,994,852,128
15,841,797,19
16,456,646,172
17,222,129,181
18,942,496,41
19,487,705,130
20,855,994,50
21,508,894,10
22,546,428,16
23,627,254,181
24,893,42,106
25,587,535,48
26,406,729,141
27,139,866,131
28,298,273,95
29,285,114,166
30,622,523,184
31,687,383,110
32,800,343,135
33,880,489,129
34,892,877,11
35,839,806,21
36,550,27,141
37,125,652,40
38,167,31,160
39,787,62,122
40,514,608,159
41,261,198,192
42,851,7,62
43,57,651,30
44,302,608,29
45,518,539,40
46,139,499,33
47,839,18,139
48,328,783,128
49,345,651,55
50,466,942,198
51,278,526,154
52,125,131,59
53,195,678,117
54,164,827,132
55,239,145,152
56,24,980,1
57,142,390,67
58,740,470,146
59,158,785,66
60,116,104,112
61,602,345,68
62,27,842,89
63,704,699,0
64,232,927,48
65,881,421,169
66,570,518,28
67,939,696,40
68,225,858,55
69,395,195,199
70,131,498,38
71,708,442,20
72,869,529,137
73,567,99,118
74,391,321,44
75,97,96,12
76,220,987,90
77,732,140,188
78,246,613,106
79,321,588,77
80,214,390,118
81,218,690,146
82,580,861,9
83,225,402,113
84,392,214,96
85,542,11,100
86,518,715,69
87,620,565,18
88,746,828,38
89,457,389,57
90,447,215,175
91,544,530,200
92,357,910,193
93,134,199,173
94,5,399,54
95,110,541,12
96,59,912,54
97,257,591,70
98,683,88,8
99,765,704,77
100,345,799,152
101,381,826,60
102,118,140,117
103,253,410,5
104,777,209,182
105,220,103,96
106,722,0,92
107,252,543,140
108,339,394,113
109,755,763,11
110,319,58,86
111,879,613,76
112,119,342,140
113,603,360,21
114,181,667,47
115,672,742,89
116,993,680,19
117,332,835,122
118,845,211,63
119,770,392,147
120,152,95,188
121,45,489,148
122,99,996,181
123,253,317,58
124,479,685,177
125,634,723,77
126,723,260,164
127,57,153,105
128,28,260,131
129,368,746,93
130,521,981,47
131,876,142,176
132,245,237,39
133,249,766,130
134,564,17,13
135,18,657,159
136,627,479,34
137,668,305,183
138,425,67,53
139,645,150,76
140,909,222,44
141,90,622,170
142,344,228,28
143,127,70,160
144,725,402,84
145,692,52,152
146,621,71,158
147,123,297,153
148,364,221,62
149,985,977,200
150,65,719,76
151,733,144,183
152,969,525,87
153,339,973,141
154,657,407,73
155,516,293,162
156,100,635,153
157,203,154,146
158,225,872,121
159,437,488,108
160,949,635,144
161,646,643,18
162,509,84,147
163,471,783,68
164,476,485,166
165,852,965,119
166,452,465,175
167,405,932,162
168,537,940,88
169,610,591,87
170,718,738,157
171,867,228,39
172,913,834,94
173,372,813,8
174,711,997,170
175,857,616,174
176,533,836,53
177,342,823,114
178,191,877,99
179,120,848,20
180,647,260,43
181,965,283,123
182,826,720,80
183,455,387,199
184,208,502,193
185,368,457,67
186,974,454,111
187,393,45,115
188,978,468,159
189,627,682,31
190,824,851,163
191,262,160,10
192,994,1,45
193,297,921,91
194,629,16,88
195,155,240,108
196,988,658,118
197,882,989,94
198,835,696,74
199,682,506,5
200,927,233,3
201,693,198,168
202,150,39,5
203,767,328,164
204,743,66,1
205,830,65,90
206,633,458,40
207,235,86,11
208,740,90,138
209,904,835,65
210,251,49,69
211,411,793,145
212,728,710,6
213,772,731,189
214,148,421,101
215,75,703,177
216,344,828,41
217,905,689,188
218,958,234,57
219,598,705,149
220,414,950,195
221,549,864,101
222,130,279,85
223,49,577,125
224,776,295,29
225,504,554,129
226,710,453,179
227,934,600,24
228,61,150,4
229,189,14,31
230,463,206,47
231,527,255,63
232,69,494,72
233,199,876,182
234,430,540,50
235,76,549,8
236,579,474,164
237,70,899,124
238,39,621,177
239,661,901,111
240,332,748,173
241,478,830,87
242,598,988,36
243,336,142,81
244,913,749,138
245,306,111,6
246,803,405,114
247,90,801,101
248,303,862,55
249,811,527,39
250,308,379,147
251,757,578,171
252,511,737,78
253,660,361,81
254,665,123,149
255,218,361,77
256,908,285,186
257,84,954,113
258,35,139,53
259,884,53,89
260,926,779,9
261,138,133,7
262,786,501,167
263,172,451,66
264,209,118,186
265,122,26,106
266,333,142,40
267,993,33,129
268,443,60,128
269,244,418,105
270,448,575,184
271,73,522,20
272,137,474,94
273,27,545,141
274,607,591,134
275,525,564,151
276,616,846,50
277,392,960,24
278,459,773,33
279,308,819,80
280,741,755,133
281,729,700,120
282,352,720,38
283,982,504,125
284,979,499,173
285,601,514,125
286,817,583,94
287,941,582,158
288,65,267,169
289,719,735,44
290,136,735,38
291,644,972,143
292,297,567,28
293,108,488,74
294,940,490,172
295,905,773,20
296,2,834,172
297,943,642,111
298,129,187,199
299,848,476,36
300,6,686,39
301,0,396,154
302,454,474,5
